Module                  Size  Used by
nls_iso8859_1          12288  1
joydev                 32768  0
input_leds             12288  0
mac_hid                12288  0
serio_raw              20480  0
sch_fq_codel           24576  1
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  5 nft_compat,nf_tables,ip_set
dmi_sysfs              24576  0
ip_tables              32768  0
x_tables               65536  6 xt_conntrack,nft_compat,xt_addrtype,xt_set,ip_tables,xt_MASQUERADE
autofs4                57344  2
btrfs                2056192  0
blake2b_generic        24576  0
raid10                 77824  0
raid456               196608  0
async_raid6_recov      20480  1 raid456
async_memcpy           16384  2 raid456,async_raid6_recov
async_pq               20480  2 raid456,async_raid6_recov
async_xor              16384  3 async_pq,raid456,async_raid6_recov
async_tx               16384  5 async_pq,async_memcpy,async_xor,raid456,async_raid6_recov
xor                    20480  2 async_xor,btrfs
raid6_pq              126976  4 async_pq,btrfs,raid456,async_raid6_recov
libcrc32c              12288  5 nf_conntrack,nf_nat,btrfs,nf_tables,raid456
raid1                  61440  0
raid0                  24576  0
dm_mirror              24576  0
dm_region_hash         24576  1 dm_mirror
dm_log                 20480  2 dm_region_hash,dm_mirror
hid_multitouch         36864  0
crct10dif_pclmul       12288  1
hid_generic            12288  0
crc32_pclmul           12288  0
polyval_clmulni        12288  0
nvme                   61440  2
polyval_generic        12288  1 polyval_clmulni
rtsx_pci_sdmmc         36864  0
ghash_clmulni_intel    16384  0
sha256_ssse3           32768  0
sha1_ssse3             32768  0
nvme_core             212992  3 nvme
video                  77824  2 ideapad_laptop,i915
nvme_auth              28672  1 nvme_core
intel_lpss_pci         28672  0
rtsx_pci              143360  1 rtsx_pci_sdmmc
i2c_hid_acpi           12288  0
xhci_pci               24576  0
ahci                   49152  0
i2c_hid                40960  1 i2c_hid_acpi
intel_lpss             12288  1 intel_lpss_pci
xhci_pci_renesas       20480  1 xhci_pci
hid                   180224  5 i2c_hid,hidp,hid_multitouch,hid_generic,uhid
libahci                53248  1 ahci
idma64                 20480  0
wmi                    28672  4 video,intel_wmi_thunderbolt,wmi_bmof,ideapad_laptop
pinctrl_sunrisepoint    28672  0
aesni_intel           356352  10
crypto_simd            16384  1 aesni_intel
cryptd                 24576  3 crypto_simd,ghash_clmulni_intel
